UserID,UserName,Age,Gender,Email,Total_Courses_Enrolled,Enrollment_Frequency_Days,Preferred_Category,Preferred_Level,Avg_Spending_Per_Learner,Diversity_Score,Learning_Depth_Index,Assigned_Segment
U00001,wilsonjordan,15,Male,patricia27@hotmail.com,1,0.0,Cybersecurity,Intermediate,394.26,1,0.0,3
U00002,angela22,29,Female,hallrandy@hotmail.com,1,0.0,Programming,Beginner,0.0,1,1.0,2
U00003,morrisonamanda,33,Female,ganderson@yahoo.com,11,30.7,Marketing,Advanced,55.81636363636364,7,0.36363636363636365,1
U00004,fthornton,23,Female,christensencatherine@outlook.com,13,26.75,Digital Marketing,Intermediate,75.54230769230769,8,0.3076923076923077,1
U00005,fostergeoffrey,21,Male,karenfuentes@yahoo.com,2,83.0,Programming,Advanced,173.355,2,0.5,0
U00006,jacksonjose,21,Male,wilsonnatalie@outlook.com,1,0.0,Machine Learning,Advanced,0.78,1,0.0,0
U00007,grodriguez,24,Male,lopezjoseph@gmail.com,1,0.0,Cybersecurity,Intermediate,0.0,1,0.0,3
U00008,adkinsapril,33,Female,sanfordtaylor@gmail.com,1,0.0,Finance,Intermediate,0.0,1,0.0,3
U00009,heathercallahan,20,Female,chelseastephenson@outlook.com,1,0.0,Design,Advanced,276.37,1,0.0,0
U00010,qlam,34,Female,brian31@outlook.com,2,60.0,Artificial Intelligence,Beginner,163.01,2,0.5,2
U00011,ashley16,15,Female,guzmanantonio@outlook.com,2,180.0,Data Science,Advanced,149.785,2,0.5,0
U00012,mirandatimothy,15,Female,paula93@outlook.com,2,6.0,Design,Advanced,163.995,2,0.5,0
U00013,cherrykathleen,33,Female,michelewatkins@outlook.com,14,25.846153846153847,Machine Learning,Advanced,102.3092857142857,8,0.35714285714285715,1
U00014,huertatimothy,30,Male,gabrielanderson@yahoo.com,1,0.0,Machine Learning,Advanced,0.0,1,0.0,0
U00015,tbaker,27,Female,kelly33@yahoo.com,14,26.153846153846153,Artificial Intelligence,Beginner,145.36142857142858,10,0.5,1
U00016,josephmullins,32,Male,amysparks@outlook.com,1,0.0,Marketing,Advanced,0.0,1,0.0,0
U00017,theresa55,24,Male,pachecojeremy@gmail.com,3,148.5,Artificial Intelligence,Beginner,321.06,3,0.6666666666666666,2
U00018,nicole97,24,Female,aprilharrell@hotmail.com,16,22.333333333333332,Artificial Intelligence,Beginner,91.751875,9,0.4375,1
U00019,rlawson,24,Female,kingjulia@gmail.com,1,0.0,Design,Beginner,0.0,1,1.0,2
U00020,evansmichael,27,Female,eharris@hotmail.com,1,0.0,Programming,Beginner,0.0,1,1.0,2
U00021,autumn63,15,Male,julieestrada@hotmail.com,2,30.0,Cybersecurity,Advanced,88.67,2,0.0,0
U00022,patriciaadkins,31,Male,thomas63@hotmail.com,1,0.0,Project Management,Beginner,0.0,1,1.0,2
U00023,micheal78,32,Male,ashleymorris@yahoo.com,1,0.0,Design,Beginner,0.0,1,1.0,2
U00024,steven43,18,Female,petersonlori@yahoo.com,1,0.0,Cybersecurity,Intermediate,0.0,1,0.0,3
U00025,georgewhite,34,Male,jamesbradshaw@hotmail.com,4,75.33333333333333,Finance,Advanced,29.76,4,0.25,0
U00026,andrew02,19,Male,jason57@yahoo.com,1,0.0,Project Management,Beginner,327.99,1,1.0,2
U00027,hunter32,31,Male,ronaldthomas@yahoo.com,2,75.0,Cybersecurity,Advanced,0.0,2,0.0,0
U00028,zgomez,30,Female,rwhitaker@outlook.com,12,25.90909090909091,Finance,Beginner,84.38833333333334,9,0.4166666666666667,1
U00029,hartmanjon,30,Male,nicole88@gmail.com,1,0.0,Business,Intermediate,326.02,1,0.0,3
U00030,david76,34,Male,robert64@outlook.com,1,0.0,Project Management,Intermediate,0.0,1,0.0,3
U00031,lovedavid,30,Male,fbooth@yahoo.com,1,0.0,Web Development,Beginner,0.0,1,1.0,2
U00032,veronica83,18,Male,andrea24@yahoo.com,1,0.0,Business,Beginner,285.05,1,1.0,2
U00033,rodrigueznatalie,25,Male,linda50@gmail.com,1,0.0,Design,Advanced,276.37,1,0.0,0
U00034,ilopez,32,Female,scottwatts@yahoo.com,2,73.0,Artificial Intelligence,Beginner,124.05,2,1.0,2
U00035,chernandez,32,Male,bryangilbert@yahoo.com,1,0.0,Machine Learning,Advanced,0.78,1,0.0,0
U00036,coxmichael,24,Female,leonardkimberly@hotmail.com,1,0.0,Programming,Beginner,0.0,1,1.0,2
U00037,lisabraun,31,Female,ericbrown@hotmail.com,2,257.0,Cybersecurity,Advanced,0.0,2,0.0,0
